,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol
230404_at,0.353960407,4.624851616,3.748698965,0.000723135,0.006785209,-0.764085018,C5orf63
223975_at,0.354252055,4.18172573,4.810930175,3.61E-05,0.000685276,2.107151271,TRIM51
226912_at,0.354341995,4.861424559,3.582414421,0.001137763,0.009695348,-1.193414696,ZDHHC23
223213_s_at,0.354447429,6.701863888,4.374374054,0.000125772,0.001760063,0.906730649,ZHX1
206708_at,0.354674897,4.592573341,3.356604748,0.002083628,0.015459681,-1.763444608,FOXN2
1560782_at,0.354775119,4.50239987,4.876737847,2.99E-05,0.000595118,2.289584634,NA
216635_at,0.355272101,3.668296683,3.967253171,0.000395256,0.004277636,-0.189283081,NA
229892_at,0.355372355,5.521968633,4.999597253,2.10E-05,0.000453992,2.630879242,EP400P1
226076_s_at,0.355424393,6.692875573,4.326634885,0.000144001,0.001960469,0.776811221,NA
201623_s_at,0.355491158,8.721264091,4.408237934,0.000114241,0.001636179,0.999079986,DARS1
32062_at,0.356155224,6.070288872,5.140340006,1.40E-05,0.00033474,3.02271621,LRRC14
239269_at,0.356448635,6.000205259,5.501210425,4.96E-06,0.000150861,4.029414548,NA
240539_at,0.356468239,4.679017088,4.979392901,2.23E-05,0.000476088,2.574697792,NA
244024_at,0.356507402,6.283830193,3.197242704,0.003167164,0.021325698,-2.155461881,ZNF182
229722_at,0.356697625,6.142702251,4.41846053,0.00011097,0.001602213,1.026987742,LINC00653
236883_at,0.356824223,7.259677366,5.737192191,2.51E-06,9.08E-05,4.687466296,NA
244599_at,0.356908411,7.481781626,3.941003764,0.00042519,0.004517537,-0.25888954,NA
203620_s_at,0.357050923,8.387257574,6.259096728,5.65E-07,3.13E-05,6.135560456,FCHSD2
242609_x_at,0.357090086,5.892009651,4.160307365,0.000230286,0.002808143,0.326865207,NA
219797_at,0.357100614,6.326142851,3.245716822,0.00279059,0.019384514,-2.037189458,MGAT4A
206055_s_at,0.357199679,9.424002247,6.114068185,8.54E-07,4.20E-05,5.734597741,SNRPA1
AFFX-r2-Ec-bioB-3_at,0.357261844,8.323824669,4.238918416,0.000184536,0.002380725,0.538971836,NA
242554_at,0.357318848,6.14308686,4.156056404,0.000233055,0.002836033,0.315425228,TPCN2
238760_at,0.357374496,6.977090809,5.315027601,8.47E-06,0.000229699,3.509859396,YARS1
1565034_s_at,0.357523243,3.363556774,3.739227111,0.000742164,0.006939937,-0.788737754,AFF3
241851_x_at,0.357732032,4.910244915,3.359126871,0.002069746,0.015381728,-1.757168552,NA
244272_s_at,0.358124443,5.318308422,3.619515,0.001028878,0.00894481,-1.098281983,TC2N
236635_at,0.358322395,3.77781163,3.63479695,0.000987028,0.008651127,-1.058983235,ZNF667
213582_at,0.358829485,4.635416223,4.684663832,5.19E-05,0.000897973,1.758017444,ATP11A
220882_at,0.358836207,6.498009738,3.10140019,0.004059196,0.025610035,-2.386672225,NA
221871_s_at,0.35892343,5.81145307,3.972732082,0.000389273,0.004229634,-0.174736105,TFG
216503_s_at,0.358980207,6.28925656,3.141854905,0.003656826,0.023770888,-2.289515869,MLLT10
225484_at,0.358986997,5.65500092,3.598400959,0.001089541,0.009366455,-1.152470367,CEP41
226878_at,0.359266504,6.992385033,3.166537787,0.003430303,0.022648453,-2.229922031,HLA-DOA
230802_at,0.359502352,4.231376417,3.249401928,0.002763785,0.019227633,-2.028162638,ARHGAP24
231838_at,0.359716438,5.940997715,4.327210764,0.000143766,0.001958737,0.778376509,PABPC1L
209199_s_at,0.360149462,9.560889672,3.738070898,0.00074452,0.006957208,-0.791745505,MEF2C
243117_at,0.360232712,4.57859045,3.655637344,0.000932607,0.008277644,-1.005286207,NA
220088_at,0.360239849,9.460911391,3.548149173,0.001248183,0.010409457,-1.280924192,C5AR1
231224_x_at,0.360274272,3.954569818,4.703430081,4.92E-05,0.000861347,1.809823924,PRKAG2
210268_at,0.360349087,5.97003988,4.417071277,0.000111409,0.00160763,1.023194271,NFX1
220404_at,0.360509167,5.306868231,4.639431417,5.91E-05,0.000990435,1.633279249,ADGRG3
201353_s_at,0.360614726,7.362606988,4.564237328,7.33E-05,0.001166709,1.426356725,BAZ2A
208661_s_at,0.360830328,8.863066055,4.355908845,0.000132535,0.00183499,0.856440554,NA
222193_at,0.360857516,6.597063866,3.94997182,0.000414722,0.004429557,-0.235125113,LDAH
226334_s_at,0.361407047,9.020048955,2.989407735,0.005404129,0.031689269,-2.652162479,AHSA2P
229466_at,0.361408993,6.526434051,3.437853928,0.001678502,0.013087862,-1.560198187,TRIM66
236019_at,0.361418748,8.075395253,4.379442981,0.000123975,0.001742955,0.920544131,RAB12
223641_at,0.361628139,5.694175817,3.232055583,0.002892146,0.01990284,-2.070609793,NA
244492_at,0.361694628,5.9205308,4.236592716,0.000185751,0.002391887,0.532682057,NA
232354_at,0.361726792,6.484294517,3.158860828,0.003499283,0.023001118,-2.248482414,NA
244743_x_at,0.361764758,5.493001294,4.152968597,0.000235087,0.00285631,0.30711745,ZNF138
235221_at,0.361920331,5.314540213,3.921829638,0.000448445,0.004706094,-0.309640843,CBLN3
236139_at,0.362074455,5.011878155,3.101576224,0.004057358,0.025601388,-2.386250868,NA
207339_s_at,0.362105127,11.04970183,3.078229277,0.004308274,0.026807201,-2.442025284,LTB
234753_x_at,0.362156018,5.533848045,3.725605746,0.000770385,0.007142382,-0.824150351,NA
212520_s_at,0.362203261,7.12168856,5.26027936,9.92E-06,0.000259213,3.357122525,SMARCA4
213178_s_at,0.362218825,7.739877601,5.727426179,2.59E-06,9.29E-05,4.660257667,MAPK8IP3
243988_at,0.362264012,3.396741263,2.95257127,0.005931968,0.033925771,-2.738329445,NA
232002_at,0.362364162,5.729576656,4.476175749,9.42E-05,0.001414442,1.184800719,NA
236040_at,0.362394348,4.482811284,5.108551811,1.54E-05,0.000357617,2.934151581,XAGE3
227670_at,0.362706775,7.405281427,4.184619333,0.000215059,0.002672958,0.392352393,ZNF75A
1559116_s_at,0.362738026,4.186651349,4.774350598,4.01E-05,0.000741327,2.005876577,NA
239494_at,0.362869587,4.374852181,4.180603587,0.000217504,0.002691722,0.381528519,FBXW7
238666_at,0.363177569,6.777761031,5.01857066,1.99E-05,0.000436595,2.68365542,NA
227134_at,0.363333102,9.468689089,4.222106443,0.0001935,0.002468411,0.493524048,SYTL1
231974_at,0.363453249,7.277789341,4.7761691,3.99E-05,0.000738467,2.010908936,KMT2D
227286_at,0.363815213,6.974161195,4.872484729,3.03E-05,0.000600906,2.277785409,INO80E
227047_x_at,0.364350073,7.951907383,4.548759787,7.66E-05,0.00120745,1.383838074,ZBTB4
224037_at,0.364368229,3.921417205,3.241220985,0.002823629,0.019546962,-2.048195467,SDAD1
200943_at,0.364395099,10.73002172,4.539561599,7.86E-05,0.001230686,1.358581955,HMGN1
232498_at,0.364714493,3.993603408,3.814223812,0.000603909,0.005921578,-0.592927775,MROH1
244263_at,0.365089687,3.791740806,4.982916014,2.20E-05,0.000472276,2.584492942,NA
212783_at,0.365225073,8.270090532,4.910101867,2.72E-05,0.000552057,2.382183591,RBBP6
241529_at,0.365412306,3.157431929,5.118730357,1.49E-05,0.000350721,2.96250632,NA
228366_at,0.365460645,5.420440786,3.691617939,0.00084543,0.007677115,-0.912301165,NA
1566340_at,0.36552302,4.436485413,3.606729083,0.00106521,0.00919343,-1.131111631,SNORD8
224314_s_at,0.365524943,5.903828656,3.844669484,0.000555254,0.005557115,-0.513046535,EGLN1
1566958_at,0.365544647,3.891756243,4.100476821,0.000272416,0.003186542,0.166147875,NA
243458_at,0.365796493,4.135111721,3.945449938,0.000419968,0.004471616,-0.247109787,NA
222310_at,0.365865669,7.642809538,3.688116629,0.000853553,0.007735459,-0.921364887,SCAF4
216800_at,0.366094199,4.55131917,5.194871263,1.20E-05,0.000297246,3.174714191,NA
233500_x_at,0.36613469,9.090193972,3.015153103,0.00506194,0.030169321,-2.591593452,CLEC2D
1559870_at,0.366295482,6.003864287,4.997146387,2.12E-05,0.000456844,2.624063167,LOC100129129
209049_s_at,0.366324843,8.234261043,3.609558707,0.001057064,0.009147255,-1.123850152,ZMYND8
1557513_a_at,0.367164895,3.792107593,4.296447301,0.000156848,0.002097254,0.694827059,NA
1557409_at,0.367777106,6.370885672,3.847608316,0.000550765,0.00552301,-0.505324265,NA
216063_at,0.367917908,3.946289227,4.23444593,0.00018688,0.002403026,0.526876916,HBBP1
244394_at,0.367921046,5.044223897,4.165142832,0.000227175,0.002778705,0.339882002,NA
230945_at,0.367927076,6.796569222,5.77465843,2.26E-06,8.44E-05,4.791822486,NA
203752_s_at,0.368512704,11.10283388,6.217642954,6.36E-07,3.40E-05,6.021089582,JUND
205091_x_at,0.368564163,8.334824029,3.780517007,0.000662627,0.006348928,-0.681105557,RECQL
224712_x_at,0.368763464,7.266806167,4.528604433,8.11E-05,0.00125907,1.328508356,SMIM7
229780_at,0.368797008,5.717377017,5.258058337,9.98E-06,0.000260421,3.350927245,MTSS1
232974_at,0.368832992,6.84997623,3.374243283,0.001988387,0.014894559,-1.719507756,NA
234477_at,0.368895524,4.106569055,3.342329647,0.002163904,0.015929911,-1.798925974,NA
206363_at,0.368991849,7.600519438,2.972387667,0.005642242,0.032682445,-2.692048464,MAF
213755_s_at,0.369247939,5.720649039,5.201666254,1.17E-05,0.000292694,3.19365963,SKI
1558560_s_at,0.369407542,3.791577233,3.327449189,0.002250743,0.016405727,-1.835837566,BLZF1
217738_at,0.369571375,7.776975085,3.293470455,0.00246175,0.017555259,-1.919834378,NAMPT
224860_at,0.369582678,5.861512102,3.338812018,0.002184137,0.016041328,-1.807658482,DMAC1
224260_at,0.369593467,5.05239607,5.814549238,2.01E-06,7.85E-05,4.902881529,NA
208186_s_at,0.369609386,6.37499165,5.795841556,2.12E-06,8.12E-05,4.850804713,LIPE
230515_at,0.369988097,4.753908663,4.088133074,0.000282007,0.003276397,0.133071051,NA
223382_s_at,0.370008394,6.456436159,3.138358973,0.003690039,0.023921374,-2.297937209,ZNRF1
209023_s_at,0.370023387,9.649959795,4.179822913,0.000217982,0.002695593,0.379424642,STAG2
222044_at,0.370212098,6.896254225,4.003743621,0.000357045,0.003947712,-0.092280629,PCIF1
224023_s_at,0.370935768,5.946555495,5.869145553,1.72E-06,6.97E-05,5.054788256,BRK1
201188_s_at,0.371203049,6.774109164,3.927213484,0.000441793,0.004653249,-0.295398593,ITPR3
242407_at,0.371514701,7.121029123,3.724282914,0.000773181,0.007160176,-0.827586883,NA
1556461_at,0.371734639,3.017580833,3.398425848,0.001864591,0.014159235,-1.659100552,NA
81811_at,0.371832314,6.721882207,4.178929679,0.000218531,0.002699546,0.37701755,NA
229628_s_at,0.372172898,4.632396314,3.651707205,0.000942642,0.008345037,-1.015421672,NA
238635_at,0.37226521,6.544757989,3.028947394,0.004887145,0.029382519,-2.559025338,TMEM267
234511_at,0.372333329,3.836110365,5.247378479,1.03E-05,0.000266206,3.321138244,ANKRD60
240216_at,0.372364987,5.820138102,4.421499878,0.000110016,0.001592565,1.035287812,NA
234254_at,0.372469973,5.846261338,5.185575837,1.23E-05,0.000303386,3.148798977,NA
1566003_x_at,0.372866785,4.189945183,3.974173867,0.000387714,0.004217718,-0.170907003,NA
243165_at,0.372945841,2.928570405,5.709833594,2.72E-06,9.66E-05,4.611236952,BTF3
244331_at,0.373109705,3.040222933,4.713907962,4.77E-05,0.000842338,1.838762722,NA
1566001_at,0.373184096,5.054140593,4.538952149,7.87E-05,0.001232122,1.356908876,NA
203542_s_at,0.373262181,6.820227453,3.089454369,0.004185848,0.026214383,-2.415236695,KLF9
220594_at,0.373280696,4.419141034,3.784200312,0.000655949,0.006301883,-0.67148346,OGT
234644_x_at,0.373329137,5.216265575,4.284993874,0.000162013,0.002149299,0.663757149,TNFRSF10C
219587_at,0.373503141,5.979160012,3.561460384,0.001204108,0.010114398,-1.246969735,TTC12
213327_s_at,0.373552623,7.139919096,3.792028692,0.000641974,0.006203588,-0.651021876,USP12
231004_s_at,0.373697409,5.425649358,4.435133687,0.000105833,0.001543487,1.07253466,NA
200649_at,0.373807865,8.16243492,4.726031695,4.61E-05,0.000824447,1.872258859,NUCB1
243631_at,0.373913321,4.469402136,3.437469047,0.001680229,0.013097157,-1.561166065,NA
224194_at,0.374015785,5.423719324,4.181428918,0.000216999,0.0026873,0.383752857,FCRL2
208352_x_at,0.374031917,5.502564729,4.069533907,0.000297086,0.003411001,0.083285885,ANK1
1555865_at,0.374087435,4.295797475,4.055129647,0.000309305,0.003522448,0.044774632,TOLLIP-AS1
200847_s_at,0.37409229,12.07369211,5.2918886,9.06E-06,0.000241065,3.445301129,SARAF
211306_s_at,0.374098721,3.663086682,3.383739815,0.001938857,0.014609566,-1.695808972,FCAR
221191_at,0.374222571,6.475005487,5.178906164,1.25E-05,0.000307883,3.130205568,NA
1562265_at,0.374336359,6.244568286,4.454762018,0.000100085,0.00147697,1.126199713,NA
230368_at,0.374601713,5.056324092,4.367621551,0.000128205,0.001786709,0.888334689,ERF
225726_s_at,0.374718821,3.629952754,3.958563635,0.000404929,0.004354743,-0.212341604,PLEKHH1
231985_at,0.374734661,3.693930896,5.004558245,2.07E-05,0.000450046,2.644677066,MICAL3
204484_at,0.374817366,8.136399652,4.801125692,3.72E-05,0.000699498,2.079996755,PIK3C2B
1561378_at,0.374883534,4.427628356,4.645880568,5.80E-05,0.000976057,1.651052487,C12orf42
232931_at,0.375008475,7.61011371,4.368982613,0.000127711,0.001781723,0.892042148,SNRNP200
235865_at,0.375211067,4.190138646,4.390849297,0.000120025,0.001700539,0.951640603,CELF1
239806_at,0.375708997,2.989039618,4.456479533,9.96E-05,0.001472949,1.130897799,NA
216054_x_at,0.375811963,4.797091414,3.376487944,0.001976571,0.014828351,-1.713908885,MYL4
233864_s_at,0.376223237,9.009825666,6.282043136,5.30E-07,2.99E-05,6.198875071,VPS35
1563104_at,0.3762767,4.861943579,3.72261889,0.000776712,0.007181926,-0.831909139,NA
1559343_at,0.376416407,3.807523386,3.781061281,0.000661636,0.006347307,-0.679683931,NA
205214_at,0.376471088,9.07268484,4.304744415,0.000153208,0.002055867,0.71734711,STK17B
244719_at,0.376530214,3.345039589,5.094016547,1.60E-05,0.000368976,2.893666315,NA
230997_at,0.37675536,5.238527585,3.822898076,0.000589638,0.00581712,-0.570191261,TTC21A
204007_at,0.376828742,8.669744884,2.987416665,0.005431485,0.031808746,-2.656834927,FCGR3B
242599_at,0.377188647,4.532425653,3.397874192,0.00186733,0.014174133,-1.660480734,NA
236260_at,0.377272106,4.815414135,4.748513307,4.32E-05,0.000785873,1.934404637,NA
242514_at,0.377423085,4.709615241,3.536431142,0.001288271,0.010645392,-1.3107713,NA
1558754_at,0.377783088,3.750776738,3.165716059,0.003437624,0.022682623,-2.231909786,ZNF763
228803_at,0.377853834,4.660152723,6.078525762,9.46E-07,4.52E-05,5.63613809,NA
1570299_at,0.378000426,3.944404351,3.392002311,0.001896731,0.01434949,-1.675165281,NA
203247_s_at,0.378298864,9.256427476,7.345700416,2.71E-08,3.72E-06,9.083144389,ZNF24
232483_at,0.378417425,6.478371847,3.229171658,0.002914032,0.020005611,-2.077656134,MED17
240839_at,0.378696546,6.843707649,4.437721209,0.000105057,0.00153706,1.079606322,NA
238376_at,0.379137312,4.729098513,2.891331646,0.006918628,0.03794523,-2.880258209,NA
1552729_at,0.379271695,6.126785477,5.385278291,6.92E-06,0.000196235,3.705890368,NA
201151_s_at,0.379868729,10.20433662,4.734333387,4.50E-05,0.000811198,1.895202342,MBNL1
229033_s_at,0.379971701,6.103753955,4.188326364,0.000212826,0.002653044,0.402346599,PWWP3A
242507_at,0.380119459,3.902258967,5.2140516,1.13E-05,0.000285412,3.228194544,UBXN7-AS1
1554660_a_at,0.380199305,6.253966709,3.58981057,0.001115202,0.009542043,-1.174480981,CNST
217646_at,0.380286423,6.624165118,7.06399089,5.89E-08,6.41E-06,8.330273804,SURF1
204760_s_at,0.380585671,5.621261529,4.29528566,0.000157364,0.002101588,0.691674953,NA
214924_s_at,0.380645062,7.917664278,6.288204682,5.20E-07,2.95E-05,6.215870068,TRAK1
236699_at,0.38090811,7.405458682,5.071294859,1.71E-05,0.000389006,2.830394552,NA
224058_s_at,0.380944208,4.700500613,2.896794743,0.00682469,0.037561903,-2.867665191,HSD17B7P2
226318_at,0.381113465,9.849302652,6.042394482,1.05E-06,4.86E-05,5.535974897,TBRG1
237798_at,0.381139641,3.635437438,6.11479098,8.53E-07,4.20E-05,5.736599277,NA
222182_s_at,0.381162628,9.441700193,6.603596866,2.13E-07,1.56E-05,7.081956878,CNOT2
239207_at,0.381617001,6.852691652,6.509461279,2.78E-07,1.88E-05,6.824288027,KDM5C
213710_s_at,0.381838309,7.797047546,4.490575827,9.04E-05,0.001368885,1.224239361,CALM1
230566_at,0.38187712,7.881646274,5.533071806,4.52E-06,0.00014142,4.118315563,MORC2-AS1
1560659_at,0.381958323,7.163792281,4.333685325,0.000141153,0.001930795,0.795978206,LINC00342
1552347_at,0.381966483,7.66148364,5.081632264,1.66E-05,0.000379652,2.859178145,CRYZL1
241275_at,0.382176839,3.443104206,5.67392711,3.02E-06,0.000104138,4.511160105,CAPZA1
202840_at,0.382644093,6.634824232,3.567821555,0.001183581,0.009986467,-1.230725164,TAF15
242875_at,0.382750457,6.859245917,3.396982927,0.001871764,0.014195989,-1.662710366,NA
240078_at,0.382916742,4.028464012,3.607234024,0.001063752,0.009185195,-1.129816001,SFSWAP
236280_at,0.382920772,8.391989539,3.665143233,0.000908762,0.008117395,-0.980753986,NA
225476_at,0.382947361,6.736642493,5.179647109,1.25E-05,0.000307364,3.132271084,GPANK1
212708_at,0.383723155,9.694545765,6.166168205,7.37E-07,3.81E-05,5.878791295,MSL1
203624_at,0.383810188,9.808973951,5.766964623,2.31E-06,8.57E-05,4.770396213,AKAP17A
223635_s_at,0.383947425,5.643607697,3.489129856,0.001463117,0.011753732,-1.430831933,SSBP3
232527_at,0.384057996,9.431798027,4.378849598,0.000124184,0.001744704,0.918926904,PSMD6-AS2
209153_s_at,0.384662344,8.083412663,5.092188027,1.61E-05,0.000370299,2.888573839,TCF3
244865_at,0.384929181,5.090149073,4.954034346,2.40E-05,0.000504129,2.504213115,HAX1
213277_at,0.384982395,3.538714336,6.14388386,7.85E-07,3.96E-05,5.81713647,ZFP36L1
238389_s_at,0.385124295,6.227569546,3.917957801,0.00045329,0.004741464,-0.319879359,NA
219724_s_at,0.385318702,6.364884555,3.017439884,0.005032559,0.030042055,-2.586199935,TESPA1
239562_at,0.385429567,4.740144646,5.086576043,1.64E-05,0.000375385,2.872945077,MTHFD2L
242743_at,0.385722273,5.887196727,4.116420611,0.000260502,0.003082885,0.208913164,NA
215606_s_at,0.385777286,6.122826383,3.071794743,0.004379978,0.027153321,-2.457358174,ERC1
220401_at,0.386269761,3.274735444,3.506134015,0.001397774,0.011340448,-1.387750271,NA
231976_at,0.386584768,7.745906228,4.533850591,7.99E-05,0.001247329,1.342905555,LINS1
213360_s_at,0.386944075,9.771394281,5.611762511,3.61E-06,0.00011987,4.337827187,NA
202876_s_at,0.387541511,7.675797898,4.322934582,0.000145518,0.001975222,0.766754644,PBX2
241577_at,0.387738002,6.133920962,5.3597482,7.45E-06,0.000208295,3.634646059,NA
231858_x_at,0.387740847,6.422205705,3.060835164,0.004504724,0.027673684,-2.483434888,AP5B1
207966_s_at,0.387843767,9.057937179,2.981522895,0.005513232,0.032184858,-2.670655863,GLG1
236218_at,0.387849726,4.02184225,4.951129751,2.42E-05,0.000506875,2.496141861,PHOSPHO1
229841_at,0.388026769,7.033764714,3.14698677,0.003608586,0.023546893,-2.277145087,NA
203675_at,0.388181753,7.878100971,3.969904027,0.00039235,0.004256299,-0.182245618,NUCB2
242099_at,0.388192738,5.616133399,3.652588119,0.000940384,0.008330636,-1.013150243,NA
1560169_at,0.388409188,2.776860702,3.794401136,0.000637796,0.006176962,-0.644817889,LOC101927069
225803_at,0.388443997,6.112562139,4.421552219,0.00011,0.001592565,1.035430759,FBXO32
1568717_a_at,0.388627817,4.36764774,4.001761405,0.000359024,0.003964787,-0.09755697,FKBP15
1564568_at,0.388767885,5.215269744,3.640007999,0.000973138,0.008556821,-1.045567754,NA
219748_at,0.388889336,6.535012633,4.040789051,0.00032196,0.003635513,0.006473415,TREML2
209675_s_at,0.388914235,7.398538089,6.308484844,4.91E-07,2.85E-05,6.271788782,HNRNPUL1
230315_at,0.389850887,4.262062398,4.667662951,5.45E-05,0.000930689,1.711111643,NA
210965_x_at,0.389872267,5.275213069,3.035916239,0.004801029,0.029008314,-2.542541662,CDK13
215394_at,0.389902556,4.430639886,4.344756373,0.000136793,0.00188392,0.826089841,PIK3C3
81737_at,0.389942286,7.02127327,3.067824156,0.004424789,0.027345466,-2.466811284,LOC100505915
201001_s_at,0.389979991,8.857574651,6.446747714,3.32E-07,2.14E-05,6.65221983,NA
219840_s_at,0.390019643,3.295032441,5.112365647,1.52E-05,0.000354328,2.944775515,TCL6
217734_s_at,0.390094673,8.231411528,4.086634436,0.000283193,0.003288088,0.129057168,WDR6
234991_at,0.390125753,7.064952105,3.273419378,0.002595031,0.018316982,-1.969210048,ZXDC
224118_at,0.390264558,4.839250901,4.712274583,4.80E-05,0.000845471,1.834250882,UBE2B
239042_at,0.390342695,5.469218234,3.142373131,0.003651926,0.023747512,-2.288267109,TSR1
222146_s_at,0.390350359,6.890638692,3.926220922,0.000443012,0.004662498,-0.298024759,TCF4
228348_at,0.390369369,8.572713445,5.096607688,1.59E-05,0.000366851,2.90088291,LINS1
207539_s_at,0.390457729,3.191812119,5.210677293,1.14E-05,0.0002873,3.218785389,IL4
229031_at,0.390668655,6.578950641,5.690804041,2.87E-06,0.000100284,4.558202785,NA
226344_at,0.39074703,6.508012024,3.675936811,0.000882405,0.007933865,-0.952868896,ZMAT1
1555391_a_at,0.391437257,3.714598019,3.357723418,0.00207746,0.015422285,-1.760661173,CARF
214802_at,0.391479379,6.530741522,5.441704832,5.88E-06,0.000172988,3.863360048,EXOC7
232739_at,0.391562082,4.677729258,3.975568346,0.000386211,0.004204719,-0.167203121,SPIB
229457_at,0.391598803,4.575719355,4.368068236,0.000128042,0.00178544,0.889551405,ANKHD1
213842_x_at,0.391769931,9.471465571,4.786270472,3.88E-05,0.000722504,2.038867139,NA
239478_x_at,0.391852412,3.499326391,4.180428056,0.000217611,0.002692443,0.381055464,GPATCH2L
212611_at,0.391885069,5.574671082,4.71473031,4.76E-05,0.00084117,1.841034358,DTX4
244842_x_at,0.392387346,7.397374023,5.437517115,5.95E-06,0.000174806,3.851673392,NA
243639_at,0.392428056,4.875738255,4.375855581,0.000125244,0.001755375,0.910767641,NA
239716_at,0.392479755,7.293284035,4.260845242,0.000173457,0.002271017,0.598314491,NA
211541_s_at,0.392660465,5.923658925,3.97808826,0.00038351,0.004182811,-0.160508942,DYRK1A
208989_s_at,0.39272812,7.160593645,4.189224261,0.000212288,0.002648155,0.404767692,KDM2A
230380_at,0.392750444,5.272092569,3.22142417,0.002973614,0.020315176,-2.096570453,THAP2
238646_at,0.392853262,4.168025811,3.574441746,0.001162578,0.009841266,-1.213806584,NA
213748_at,0.393043692,6.783023309,3.675092547,0.000884439,0.007948179,-0.955051174,TRIM66
211795_s_at,0.393252808,10.67670804,3.967885277,0.000394561,0.004274348,-0.187605106,FYB1
223245_at,0.393282812,6.531924847,3.860816806,0.000531024,0.005367667,-0.470591956,STRBP
230776_at,0.393334472,4.143470881,3.381633922,0.001949737,0.014671339,-1.701066871,RNF157-AS1
219361_s_at,0.393371244,6.81071298,5.687924068,2.90E-06,0.000100919,4.550175661,AEN
236625_at,0.393497155,7.2023743,4.2119207,0.000199138,0.0025256,0.466011309,NA
201085_s_at,0.393725084,8.226819625,3.927132677,0.000441892,0.004653397,-0.295612405,SON
238012_at,0.393776136,5.94938546,4.801802864,3.71E-05,0.000698621,2.081872028,DPP7
232288_at,0.394308904,4.373259284,4.409004196,0.000113993,0.001634127,1.001171409,NA
239960_x_at,0.3944541,5.616677001,3.057254006,0.004546212,0.027865936,-2.491945049,LYRM7
215358_x_at,0.394503168,6.260652601,4.437481419,0.000105129,0.001537285,1.078950943,ZNF37BP
212558_at,0.394610491,4.2562817,4.245190137,0.000181298,0.002349809,0.555937807,SPRY1
1554334_a_at,0.394823796,6.642222076,3.506337674,0.001397009,0.011337604,-1.387233744,DNAJA4
244808_at,0.394900443,6.081773905,3.57086916,0.001173867,0.009916874,-1.222938281,GRAMD1A
209127_s_at,0.394965377,7.582649881,2.946713091,0.006020274,0.034287339,-2.751978311,SART3
221249_s_at,0.395147946,9.763571881,6.36219135,4.22E-07,2.56E-05,6.419732145,FAM117A
222968_at,0.395206521,6.198640955,3.188502021,0.003240041,0.021684698,-2.176694777,SNHG32
1569867_at,0.39523834,5.540086046,4.531449783,8.04E-05,0.001252325,1.336316556,EME2
243153_at,0.395261796,5.255927798,6.110685324,8.63E-07,4.23E-05,5.72522966,CDK5RAP2
244646_at,0.395459474,5.269817082,3.970011929,0.000392232,0.004255866,-0.181959129,NA
209117_at,0.395649017,7.713045767,3.14072895,0.003667491,0.023826057,-2.2922287,WBP2
233358_at,0.39569898,5.97719528,3.382321949,0.001946176,0.014650581,-1.699349199,NA
244415_at,0.395706072,5.071852587,3.552020288,0.001235207,0.01032012,-1.271055081,NA
1556238_at,0.395821304,3.032123155,3.736297516,0.000748147,0.006979178,-0.796358085,NA
201019_s_at,0.395890689,9.936698294,5.865572783,1.74E-06,7.03E-05,5.044851045,EIF1AX
1556621_a_at,0.395944605,4.092365356,3.382374437,0.001945905,0.014650555,-1.699218156,NA
215057_at,0.396182605,4.65896193,5.384021484,6.94E-06,0.000196743,3.702383053,LINC00894
222046_at,0.396947226,5.203873691,5.353416126,7.59E-06,0.000211343,3.616976316,SRRT
239803_at,0.397166766,6.11279329,5.94819476,1.37E-06,5.91E-05,5.274515791,NA
203975_s_at,0.397426735,4.926987178,4.174241339,0.000221434,0.002726777,0.364385612,CHAF1A
227175_at,0.397486792,5.04704347,4.587275744,6.86E-05,0.001112508,1.489693417,MCL1
1559413_at,0.397519112,6.268481508,3.048122536,0.004653649,0.028349665,-2.513620891,TCP11L2
220761_s_at,0.397557123,9.782043815,7.698754742,1.04E-08,2.13E-06,10.01352973,TAOK3
235618_at,0.39785305,5.39462671,6.228331159,6.17E-07,3.34E-05,6.050615004,ZNF507
216644_at,0.397900361,4.377246985,4.505822402,8.65E-05,0.001323148,1.26602317,NA
217739_s_at,0.398074585,8.818953466,3.155943827,0.003525838,0.023128399,-2.255528803,NAMPT
219237_s_at,0.398567647,8.643408129,3.804586568,0.000620159,0.006049451,-0.618167212,DNAJB14
226369_at,0.398817358,6.861890969,5.372840075,7.17E-06,0.000201928,3.671179871,LINC01089
1569354_at,0.39910526,4.52184871,4.419151067,0.000110753,0.001600267,1.028873403,NA
217991_x_at,0.399549588,6.513798148,3.967702013,0.000394762,0.004274834,-0.188091602,SSBP3
208685_x_at,0.400004231,8.56943764,4.599591576,6.62E-05,0.001081742,1.523574531,BRD2
221943_x_at,0.400025057,9.139983735,2.9311737,0.006260561,0.035313751,-2.788110062,RPL38
212603_at,0.400046502,8.649792911,4.993475041,2.14E-05,0.000460424,2.613853365,MRPS31
241985_at,0.400349648,5.566975477,3.643740353,0.000963306,0.008485713,-1.035954454,JMY
207535_s_at,0.400556123,7.099988982,3.94461644,0.000420942,0.004478499,-0.249318391,NFKB2
237195_at,0.400689103,3.875225417,2.941760184,0.006095899,0.034606303,-2.763506237,NA
211700_s_at,0.400772473,5.124728915,4.493594213,8.96E-05,0.001360556,1.23250919,TRO
236427_at,0.400927167,3.877029117,5.772398841,2.27E-06,8.46E-05,4.785530016,NA
