,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol
225480_at,-0.142100692,7.551951042,-3.213967366,0.00303206,0.020619137,-2.114754048,C1orf122
200713_s_at,-0.141310204,10.30859326,-3.546548807,0.001253586,0.010444956,-1.285002908,MAPRE1
218869_at,-0.141264588,7.218218051,-3.367032607,0.002026805,0.015134602,-1.737481938,MLYCD
222804_x_at,-0.14028673,7.32252631,-3.047748425,0.004658101,0.028363182,-2.514508202,DCAF10
218079_s_at,-0.140008798,8.517419363,-3.217271216,0.00300603,0.020477785,-2.106700085,GGNBP2
201553_s_at,-0.13986211,11.77640498,-3.158964337,0.003498344,0.022998674,-2.248232315,LAMP1
212716_s_at,-0.13968243,11.08667518,-2.975462893,0.005598498,0.032515176,-2.684851017,EIF3K
219371_s_at,-0.139447501,10.87880636,-2.946071846,0.006030015,0.03432494,-2.753471422,KLF2
1570289_at,-0.13915538,3.151148596,-3.114448229,0.003925026,0.024991361,-2.355406829,LOC646736
208887_at,-0.138525247,10.74687326,-2.950280219,0.005966357,0.03405476,-2.743669116,EIF3G
227068_at,-0.138122492,9.242074564,-2.927265729,0.006322399,0.035563496,-2.797179952,PGK1
200619_at,-0.137945745,9.006568231,-3.198080113,0.003160264,0.021294978,-2.15342613,SF3B2
216862_s_at,-0.137831718,7.802989075,-3.160063194,0.003488393,0.022943327,-2.245576988,CMC4
223684_s_at,-0.137708609,7.036066934,-2.926801253,0.006329787,0.035594067,-2.79825749,SMUG1
212121_at,-0.136776563,7.27359975,-3.104993104,0.004021822,0.025452157,-2.378069755,TCTN3
201199_s_at,-0.136583681,8.635766395,-3.383655373,0.001939292,0.014610831,-1.69601983,PSMD1
212986_s_at,-0.136456412,7.616583383,-2.935651205,0.006190413,0.035001118,-2.777710032,TLK2
1554524_a_at,-0.136285841,2.563930367,-3.18107231,0.003303243,0.022014242,-2.194720264,OLFM3
202077_at,-0.136240586,10.37414734,-2.958470866,0.005844276,0.033545226,-2.724568894,NDUFAB1
226719_at,-0.136126229,7.439985758,-3.75980136,0.000701435,0.006621364,-0.735159478,DERL2
202804_at,-0.136054929,8.506897239,-2.992951735,0.005355758,0.031473138,-2.643841568,ABCC1
229813_x_at,-0.136020785,9.078456684,-2.902371438,0.006730039,0.037189741,-2.854796399,DAZAP1
202649_x_at,-0.135882564,13.14861939,-3.184170344,0.003276748,0.02186698,-2.187206567,RPS19
239911_at,-0.134811182,2.642560075,-3.448923248,0.001629562,0.012806712,-1.53234131,ONECUT2
218580_x_at,-0.134499082,8.878512842,-3.104155886,0.004030502,0.025484872,-2.380074756,AURKAIP1
201232_s_at,-0.134175451,8.84322169,-3.265028592,0.002652834,0.018643149,-1.989829563,PSMD13
200830_at,-0.132948344,8.919386524,-3.303208159,0.002399414,0.017209493,-1.895803806,PSMD2
1559274_at,-0.13143462,2.396578406,-3.147018424,0.00360829,0.023546893,-2.277068752,ZNF732
231839_at,-0.129372639,8.05099709,-2.970621263,0.005667515,0.032781239,-2.696180812,PDE12
208929_x_at,-0.128812603,13.61407455,-3.095926276,0.004116772,0.02587476,-2.399768397,NA
200006_at,-0.127492779,11.42514556,-2.922632382,0.006396462,0.035847329,-2.807924552,PARK7
201857_at,-0.127393593,9.670466071,-2.927409685,0.006320111,0.035557942,-2.796845971,ZFR
200963_x_at,-0.127201158,13.53096577,-3.167076027,0.003425516,0.022627776,-2.22861989,RPL31
209429_x_at,-0.126872148,8.342519083,-3.47634138,0.001514193,0.012077096,-1.463173867,EIF2B4
215929_at,-0.126735734,2.483637553,-2.895235075,0.006851386,0.03765126,-2.871261768,LINC00837
208825_x_at,-0.126434149,14.22455684,-3.076203588,0.004330726,0.026925456,-2.446854128,NA
